gene_id	lnc_id	Total (abs)	Total (rel)	gene_name	CDT	all_bind_sites	pearson_cor	spearman_cor
ENSG00000148516.21	HSALNG0077089	19.0	1.79e-10	ZEB1	chr10:30920000-32680000	0.0	0.5663113483949304	0.7319611945283084
ENSG00000138336.9	HSALNG0078535	2.0	2.19e-10	TET1	chr10:70080000-72160000	0.0	0.7627843125745557	0.8890317079664178
ENSG00000156650.14	HSALNG0142814	472.0	9.82e-09	KAT6B	chr10:76000000-77840000	2.0	0.3842882499151243	0.5527283045146403
ENSG00000156650.14	HSALNG0078926	13.0	2.5e-10	KAT6B	chr10:76000000-77840000	0.0	0.5679843176053164	0.5771633680877607
ENSG00000107779.13	HSALNG0079413	100.0	1.54e-09	BMPR1A	chr10:86320000-89600000	0.0	0.5757283238051055	0.6143626653802573
ENSG00000171862.11	HSALNG0079498	20.0	8.57e-10	PTEN	chr10:89240000-91000000	0.0	0.6702075201643263	0.6463329901587372
ENSG00000171862.11	HSALNG0079505	164.0	5.03e-09	PTEN	chr10:89240000-91000000	0.0	0.5327466769318618	0.5875849185330937
ENSG00000171862.11	HSALNG0079507	3.0	1.17e-10	PTEN	chr10:89240000-91000000	0.0	0.7598481067837164	0.6925321979105968
ENSG00000026103.22	HSALNG0079553	1.0	1.75e-10	FAS	chr10:89240000-91520000	0.0	0.7300063788066091	0.6278398931263587
ENSG00000107864.15	HSALNG0079698	74.0	1.03e-09	CPEB3	chr10:93680000-94280000	5.0	0.6904290100829363	0.5446837718227435
ENSG00000148737.17	HSALNG0080716	24.0	4.17e-10	TCF7L2	chr10:114200000-114960000	136.0	0.7161905899451619	0.7514795803357481
ENSG00000148737.17	HSALNG0080720	1.0	5.73e-11	TCF7L2	chr10:114200000-114960000	0.0	0.6323161854470944	0.7048858668413707
ENSG00000148737.17	HSALNG0080722	1.0	8.47e-12	TCF7L2	chr10:114200000-114960000	1.0	0.39547489460625146	0.5666404896287226
ENSG00000148737.17	HSALNG0080727	6.0	2.12e-10	TCF7L2	chr10:114200000-114960000	2.0	0.8506269673328224	0.8501016374748772
ENSG00000066468.22	HSALNG0081130	799.0	7.08e-09	FGFR2	chr10:122600000-123680000	2.0	0.2369186358079427	0.5240748065808507
ENSG00000066468.22	HSALNG0081150	326.0	2.57e-08	FGFR2	chr10:122600000-123680000	0.0	0.7814757032825375	0.9058637502391047
ENSG00000170430.10	HSALNG0081588	9.0	1.1e-10	MGMT	chr10:129960000-132040000	23.0	0.3908777452412622	0.6903803765572029
ENSG00000184937.15	HSALNG0083476	2.0	5.35e-11	WT1	chr11:32280000-33760000	5.0	0.8395029280892166	0.7794866183232159
ENSG00000135363.12	HSALNG0083544	1.0	4.35e-11	LMO2	chr11:33720000-34560000	0.0	0.747606573641174	0.5360637533634964
ENSG00000157613.11	HSALNG0083979	6.0	1.44e-10	CREB3L1	chr11:45760000-47200000	11.0	0.3674290817283064	0.6452804667733035
ENSG00000184384.14	HSALNG0143054	192.0	1.7e-09	MAML2	chr11:95480000-96200000	0.0	0.5446862711694586	0.5444893634589199
ENSG00000184384.14	HSALNG0086605	2.0	5.87e-11	MAML2	chr11:95480000-96200000	1.0	0.49907055663367644	0.8458394931578167
ENSG00000149311.18	HSALNG0086995	38.0	1.44e-09	ATM	chr11:107320000-108560000	0.0	0.7109499695849703	0.7101949273700053
ENSG00000110777.12	HSALNG0087094	3.0	5.81e-11	POU2AF1	chr11:110320000-112640000	0.0	0.2798913111683093	0.5804391224312827
ENSG00000110777.12	HSALNG0087097	72.0	4.1e-09	POU2AF1	chr11:110320000-112640000	3.0	0.8756560290390399	0.6001317178051706
ENSG00000110777.12	HSALNG0143259	3.0	2.47e-10	POU2AF1	chr11:110320000-112640000	0.0	0.5625750729685737	0.6577423342083071
ENSG00000109906.14	HSALNG0087292	2.0	1.93e-11	ZBTB16	chr11:113640000-114200000	2.0	0.3305157688050124	0.524703160394928
ENSG00000118058.22	HSALNG0087542	14.0	2.48e-10	KMT2A	chr11:117960000-118520000	1.0	0.4849193068184572	0.5861418953403822
ENSG00000110367.13	HSALNG0087578	50.0	6.55e-10	DDX6	chr11:118440000-119320000	7.0	0.4385784709029338	0.5219766722940737
ENSG00000186174.12	HSALNG0087587	20.0	3.1e-09	BCL9L	chr11:118440000-119320000	19.0	0.6035697830652084	0.6715906313548595
ENSG00000151702.17	HSALNG0088107	4.0	4.26e-11	FLI1	chr11:127240000-129240000	4.0	0.5807352562481713	0.6501086659943708
ENSG00000151702.17	HSALNG0088110	14.0	6.62e-10	FLI1	chr11:127240000-129240000	11.0	0.6753881688945923	0.8092728214895801
ENSG00000139163.16	HSALNG0089799	1.0	2.06e-11	ETNK1	chr12:22200000-24600000	0.0	0.5342741811619599	0.5477650194552331
ENSG00000167548.15	HSALNG0090958	31.0	6.97e-10	KMT2D	chr12:48600000-50480000	0.0	0.4837767564811256	0.5295302031373964
ENSG00000166888.12	HSALNG0091579	99.0	8.65e-10	STAT6	chr12:57040000-58360000	27.0	0.41726495069938196	0.5981813696815605
ENSG00000149948.13	HSALNG0091985	76.0	6.79e-10	HMGA2	chr12:65200000-66560000	3.0	0.11680151349942407	0.6798843866344629
ENSG00000149948.13	HSALNG0091989	3.0	1.72e-10	HMGA2	chr12:65200000-66560000	0.0	0.12383752529277096	0.5132795363173922
ENSG00000149948.13	HSALNG0091990	73.0	5.95e-09	HMGA2	chr12:65200000-66560000	1.0	0.3054016851875117	0.7481436912425522
ENSG00000149948.13	HSALNG0091991	3.0	4.07e-11	HMGA2	chr12:65200000-66560000	0.0	0.17079035590293043	0.689155843670014
ENSG00000149948.13	HSALNG0091999	12.0	1.51e-10	HMGA2	chr12:65200000-66560000	9.0	0.32034359110175936	0.7823521022810982
ENSG00000149948.13	HSALNG0092004	189.0	2.64e-09	HMGA2	chr12:65200000-66560000	6.0	0.5351074085498615	0.7852926238062291
ENSG00000149948.13	HSALNG0092005	8.0	9.08e-10	HMGA2	chr12:65200000-66560000	0.0	0.3130878528948378	0.7380338735390309
ENSG00000149948.13	HSALNG0092015	389.0	5.7e-08	HMGA2	chr12:65200000-66560000	0.0	0.5515803389057465	0.8868140122273915
ENSG00000149948.13	HSALNG0143658	95.0	7.41e-09	HMGA2	chr12:65200000-66560000	0.0	0.5566811502836675	0.8931770872181983
ENSG00000149948.13	HSALNG0092019	51.0	4.57e-10	HMGA2	chr12:65200000-66560000	0.0	0.5151893342242339	0.8151054998325417
ENSG00000127329.15	HSALNG0092318	178.0	1.42e-09	PTPRB	chr12:69600000-72360000	1.0	0.07664480634498529	0.5807183497570111
ENSG00000136014.12	HSALNG0093243	6.0	4.49e-10	USP44	chr12:95360000-95960000	0.0	0.5851403002185259	0.7513201738302714
ENSG00000171310.11	HSALNG0093662	28.0	3.09e-10	CHST11	chr12:103960000-105520000	0.0	0.5945207263877427	0.7164474600282645
ENSG00000171310.11	HSALNG0093667	6.0	1e-10	CHST11	chr12:103960000-105520000	0.0	0.11394700624057746	0.6220666480906673
ENSG00000135111.16	HSALNG0094230	71.0	1.49e-09	TBX3	chr12:115000000-116400000	12.0	0.6613022347121241	0.819961384921338
ENSG00000135111.16	HSALNG0094266	8.0	4.99e-10	TBX3	chr12:115000000-116400000	0.0	0.45611804130642886	0.5698410599264587
ENSG00000135100.17	HSALNG0094549	149.0	2.25e-09	HNF1A	chr12:120560000-123440000	2.0	0.6324489421841761	0.6354876453183894
ENSG00000139718.10	HSALNG0094605	1.0	5.12e-11	SETD1B	chr12:120560000-123720000	14.0	0.5279315990056079	0.5859444504707543
ENSG00000122025.15	HSALNG0095990	88.0	1.04e-09	FLT3	chr13:28560000-28880000	2.0	0.9504302440394723	0.5409955223690596
ENSG00000150907.10	HSALNG0096529	82.0	7.98e-10	FOXO1	chr13:40240000-41360000	3.0	0.4721082417834004	0.8341889264898689
ENSG00000150907.10	HSALNG0143959	17.0	2.59e-10	FOXO1	chr13:40240000-41360000	0.0	0.6287116839182317	0.781039828771025
ENSG00000150907.10	HSALNG0096557	9.0	5.6e-10	FOXO1	chr13:40240000-41360000	0.0	0.7498609322115308	0.8825100856186137
ENSG00000100852.13	HSALNG0100427	2.0	3.3e-11	ARHGAP5	chr14:32280000-33080000	0.0	0.49096070056225194	0.5402404513748587
ENSG00000100852.13	HSALNG0100432	151.0	1.52e-09	ARHGAP5	chr14:32280000-33080000	0.0	0.6631172927317758	0.538874626834396
ENSG00000198604.11	HSALNG0100536	3.0	3.48e-10	BAZ1A	chr14:34800000-35920000	0.0	0.7268791465450335	0.749090895382252
ENSG00000100644.17	HSALNG0101771	5.0	8.97e-11	HIF1A	chr14:61720000-62360000	0.0	0.5256107322601299	0.707445751929356
ENSG00000100644.17	HSALNG0101773	1.0	6.06e-11	HIF1A	chr14:61720000-62360000	1.0	0.2534483986337189	0.6089377549192571
ENSG00000100644.17	HSALNG0101776	9.0	7.02e-11	HIF1A	chr14:61720000-62360000	11.0	0.0907668499941463	0.5278988544806896
ENSG00000165409.17	HSALNG0102767	15.0	2.56e-10	TSHR	chr14:81320000-82040000	0.0	0.32010302247124	0.5013448131889838
ENSG00000165409.17	HSALNG0102769	32.0	5.09e-10	TSHR	chr14:81320000-82040000	2.0	0.7037835218646308	0.5319327814241905
ENSG00000127152.18	HSALNG0103647	6.0	5.14e-10	BCL11B	chr14:97000000-100840000	1.0	0.8254590433108465	0.6019807871876564
ENSG00000137812.19	HSALNG0105203	68.0	9.03e-10	KNL1	chr15:39960000-41760000	0.0	0.5852510902659728	0.5195202535485136
ENSG00000166949.16	HSALNG0106738	20.0	1.95e-10	SMAD3	chr15:67160000-68120000	8.0	0.2683773032326093	0.6309230064399659
ENSG00000166949.16	HSALNG0106741	7.0	2.32e-10	SMAD3	chr15:67160000-68120000	1.0	0.19319567644488608	0.5150153804156715
ENSG00000182054.9	HSALNG0108099	19.0	8.41e-09	IDH2	chr15:88160000-91560000	0.0	0.7039711405616991	0.7623670886691696
ENSG00000197299.12	HSALNG0108154	2.0	2e-10	BLM	chr15:89400000-91600000	0.0	0.6485354426554265	0.709178960043042
ENSG00000197299.12	HSALNG0108181	16.0	2.37e-10	BLM	chr15:89400000-91600000	0.0	0.5050128686349398	0.6164375979760922
ENSG00000173575.22	HSALNG0108262	3.0	5.04e-11	CHD2	chr15:92640000-93640000	0.0	0.48278053035704205	0.5612871922684844
ENSG00000179583.19	HSALNG0109562	625.0	1.31e-08	CIITA	chr16:9240000-11040000	9.0	0.8662981114053794	0.6827823390133668
ENSG00000175643.10	HSALNG0109592	388.0	9.72e-09	RMI2	chr16:11000000-12000000	17.0	0.6211855140217091	0.6602260144278916
ENSG00000140937.14	HSALNG0112031	4.0	5.01e-11	CDH11	chr16:62240000-66360000	0.0	0.4834539037763441	0.600801703732222
ENSG00000039068.19	HSALNG0112264	44.0	4.73e-09	CDH1	chr16:67520000-69400000	0.0	0.6299258652943547	0.7201660767325126
ENSG00000039068.19	HSALNG0112310	7.0	4.71e-10	CDH1	chr16:67520000-69400000	0.0	0.47929741272871906	0.7267694060672647
ENSG00000039068.19	HSALNG0112314	21.0	4.56e-10	CDH1	chr16:67520000-69400000	0.0	0.5684092987400426	0.6784070680205012
ENSG00000168411.14	HSALNG0112764	1.0	1.78e-10	RFWD3	chr16:74320000-75800000	0.0	0.542946447256409	0.5262408651737139
ENSG00000178573.7	HSALNG0112910	12.0	1.94e-10	MAF	chr16:78120000-80560000	1.0	0.3640121254069317	0.5765474343614414
ENSG00000129993.15	HSALNG0113553	1.0	7.66e-11	CBFA2T3	chr16:87320000-89320000	7.0	0.5635029385587619	0.7319810654961816
ENSG00000129993.15	HSALNG0113563	3.0	6.14e-10	CBFA2T3	chr16:87320000-89320000	138.0	0.6890509861049688	0.684606093092753
ENSG00000129993.15	HSALNG0113567	2.0	5.47e-11	CBFA2T3	chr16:87320000-89320000	6.0	0.2948431919416994	0.5157579396833614
ENSG00000129204.17	HSALNG0114109	1.0	9.34e-12	USP6	chr17:4000000-5480000	0.0	0.29515314107693535	0.6042352993902788
ENSG00000129204.17	HSALNG0114111	7.0	1.03e-10	USP6	chr17:4000000-5480000	3.0	0.30122201298062684	0.5389389356256276
ENSG00000141027.21	HSALNG0114805	640.0	1.41e-08	NCOR1	chr17:15440000-17160000	21.0	0.44668715447925567	0.5768206201896429
ENSG00000196712.18	HSALNG0115682	2.0	1.61e-11	NF1	chr17:29040000-30280000	0.0	0.5688860099281464	0.5907596631423339
ENSG00000178691.11	HSALNG0115767	30.0	3.57e-09	SUZ12	chr17:29640000-30840000	0.0	0.5610474652551312	0.5624681968970343
ENSG00000173757.10	HSALNG0145074	14.0	9.08e-10	STAT5B	chr17:39840000-41400000	0.0	0.83596103303663	0.6881546264050802
ENSG00000012048.23	HSALNG0116611	19.0	8.23e-10	BRCA1	chr17:39840000-41760000	0.0	0.39146962016730463	0.514670488023833
ENSG00000012048.23	HSALNG0116615	99.0	1.45e-09	BRCA1	chr17:39840000-41760000	18.0	0.529542655667584	0.6099374921398023
ENSG00000108924.14	HSALNG0117520	28.0	9.74e-10	HLF	chr17:52960000-53920000	0.0	0.44248378889493983	0.7033319191441597
ENSG00000108924.14	HSALNG0117521	4.0	5.69e-11	HLF	chr17:52960000-53920000	1.0	0.7382143352768996	0.7943150646012902
ENSG00000153944.11	HSALNG0117630	9.0	1.17e-10	MSI2	chr17:54560000-56240000	23.0	0.42355563624083375	0.6427109016255481
ENSG00000153944.11	HSALNG0117632	7.0	2.62e-10	MSI2	chr17:54560000-56240000	0.0	0.7094497757062128	0.7852205147528619
ENSG00000153944.11	HSALNG0145333	1.0	1.67e-11	MSI2	chr17:54560000-56240000	0.0	0.6812257842797304	0.6843187228485853
ENSG00000153944.11	HSALNG0117644	6.0	5.22e-11	MSI2	chr17:54560000-56240000	1.0	0.6892283101684847	0.6968363713063219
ENSG00000153944.11	HSALNG0117645	1.0	2.15e-11	MSI2	chr17:54560000-56240000	0.0	0.5689160869467638	0.7043168269087592
ENSG00000108375.12	HSALNG0117711	1.0	1.85e-11	RNF43	chr17:55880000-56600000	12.0	0.502835085953574	0.5584898574011663
ENSG00000198795.11	HSALNG0120527	9.0	2.11e-10	ZNF521	chr18:21040000-23560000	0.0	0.4831318674024637	0.5242278300085575
ENSG00000198795.11	HSALNG0120535	20.0	2.27e-10	ZNF521	chr18:21040000-23560000	0.0	0.6958473479166523	0.626819637086988
ENSG00000198795.11	HSALNG0120538	8.0	3.78e-10	ZNF521	chr18:21040000-23560000	0.0	0.7190735746000495	0.5194876247733703
ENSG00000198795.11	HSALNG0145447	34.0	2.92e-10	ZNF521	chr18:21040000-23560000	0.0	0.6558630956337085	0.6032051418178312
ENSG00000152217.19	HSALNG0121237	9.0	8.81e-11	SETBP1	chr18:39520000-43200000	0.0	0.6262762258854295	0.5499739357801823
ENSG00000152217.19	HSALNG0121238	26.0	2.14e-10	SETBP1	chr18:39520000-43200000	0.0	0.6850748815202654	0.932520290489025
ENSG00000152217.19	HSALNG0121241	351.0	1.55e-08	SETBP1	chr18:39520000-43200000	6.0	0.6715165310714669	0.8317981074315998
ENSG00000141646.14	HSALNG0121553	1.0	2.8e-11	SMAD4	chr18:47400000-49160000	0.0	0.5821281766771534	0.6274255500810174
ENSG00000172175.15	HSALNG0145477	7.0	4.85e-10	MALT1	chr18:55240000-56440000	0.0	0.5012608797952147	0.512661504548045
ENSG00000171791.13	HSALNG0122014	64.0	5.48e-10	BCL2	chr18:60640000-61200000	8.0	0.3049507190743151	0.5996425418147596
ENSG00000171791.13	HSALNG0122031	5.0	7.13e-11	BCL2	chr18:60640000-61200000	3.0	0.4232840429368048	0.715971803192811
ENSG00000171791.13	HSALNG0122032	84.0	1.02e-09	BCL2	chr18:60640000-61200000	1.0	0.7203555139733946	0.8212954342766078
ENSG00000171791.13	HSALNG0122033	3.0	1.62e-10	BCL2	chr18:60640000-61200000	0.0	0.7439958195791911	0.848081273434968
ENSG00000171791.13	HSALNG0122034	19.0	3.67e-10	BCL2	chr18:60640000-61200000	5.0	0.548663914835064	0.8304856408594512
ENSG00000171791.13	HSALNG0122035	13.0	3.22e-10	BCL2	chr18:60640000-61200000	0.0	0.7695511859685524	0.7312375929635251
ENSG00000171791.13	HSALNG0122037	5.0	1.16e-10	BCL2	chr18:60640000-61200000	0.0	0.7447997171720259	0.8298643212003307
ENSG00000079805.16	HSALNG0123961	439.0	3.87e-09	DNM2	chr19:7960000-11760000	7.0	0.6023400170510292	0.5486796548248619
ENSG00000069399.15	HSALNG0126491	84.0	3.67e-08	BCL3	chr19:45000000-48360000	12.0	0.47785281464927076	0.8613974134429052
ENSG00000062822.14	HSALNG0126833	23.0	2.45e-09	POLD1	chr19:48360000-54240000	0.0	0.4525138698084569	0.5357317099232412
ENSG00000062822.14	HSALNG0127096	59.0	1.96e-08	POLD1	chr19:48360000-54240000	8.0	0.5687424095577562	0.6179892932152722
ENSG00000130844.18	HSALNG0127314	20.0	1.08e-09	ZNF331	chr19:48360000-54600000	0.0	0.20271285393167662	0.5541323684932986
ENSG00000130844.18	HSALNG0127316	1.0	2.16e-10	ZNF331	chr19:48360000-54600000	0.0	0.1964863677333669	0.5407584956785128
ENSG00000130844.18	HSALNG0127425	7.0	1.65e-10	ZNF331	chr19:48360000-54600000	1.0	0.257007358540169	0.8137655009024568
ENSG00000130844.18	HSALNG0127426	722.0	1.03e-08	ZNF331	chr19:48360000-54600000	22.0	0.5196690940969146	0.6061768673184541
ENSG00000198053.11	HSALNG0146778	3.0	5.86e-11	SIRPA	chr20:1440000-2680000	5.0	0.4423628600427109	0.5133833570909404
ENSG00000198053.11	HSALNG0128161	2.0	2.38e-11	SIRPA	chr20:1440000-2680000	13.0	0.7185022487461815	0.849191098795929
ENSG00000171456.20	HSALNG0146946	22.0	2.93e-10	ASXL1	chr20:30120000-31960000	0.0	0.5949487545531327	0.576913378020443
ENSG00000204103.4	HSALNG0130098	1.0	2.87e-11	MAFB	chr20:37680000-40320000	0.0	0.111839063952483	0.5170297034429101
ENSG00000101096.20	HSALNG0130830	7.0	5.63e-10	NFATC2	chr20:49920000-50240000	69.0	0.3532494491143382	0.6425707113307728
ENSG00000101096.20	HSALNG0130832	5.0	4.15e-10	NFATC2	chr20:49920000-50240000	2.0	0.4158460679298017	0.7111267443858066
ENSG00000159216.18	HSALNG0132874	41.0	1.38e-09	RUNX1	chr21:36040000-37400000	0.0	0.2486535500255231	0.7344930787727622
ENSG00000159216.18	HSALNG0132876	2.0	1.16e-10	RUNX1	chr21:36040000-37400000	0.0	0.5631684791812878	0.6880177067941329
ENSG00000159216.18	HSALNG0132880	117.0	9.29e-10	RUNX1	chr21:36040000-37400000	1.0	0.5106678337461642	0.5883579059653173
ENSG00000157554.19	HSALNG0133071	45.0	5.47e-10	ERG	chr21:39040000-40520000	2.0	0.8669278318353631	0.5441109049822133
ENSG00000157554.19	HSALNG0133074	11.0	9.32e-11	ERG	chr21:39040000-40520000	1.0	0.3322809187456613	0.6444148818382456
ENSG00000169184.6	HSALNG0134728	2.0	2.3e-11	MN1	chr22:27080000-28440000	25.0	0.022112491446287793	0.5324199516397443
ENSG00000179750.16	HSALNG0135462	3.0	4.69e-10	APOBEC3B	chr22:39080000-40440000	4.0	0.32557532457135674	0.5087672594133016
ENSG00000196588.18	HSALNG0135559	1.0	9.51e-12	MRTFA	chr22:40760000-42080000	4.0	0.3104639136319708	0.5178064428839729
ENSG00000100393.14	HSALNG0135614	5.0	6.73e-11	EP300	chr22:40760000-42080000	4.0	0.5679368964795384	0.6125781101118342
ENSG00000147050.14	HSALNG0137570	37.0	5.21e-10	KDM6A	chrX:41640000-45680000	0.0	0.6259541885120269	0.5953147285291882
ENSG00000182872.16	HSALNG0137807	1.0	1.77e-11	RBM10	chrX:46960000-50360000	4.0	0.49017291025925336	0.5513276947355015
ENSG00000184634.16	HSALNG0138457	3.0	1.82e-09	MED12	chrX:69320000-72000000	0.0	0.5246694727365714	0.555577726765935
ENSG00000184634.16	HSALNG0151222	3.0	5.22e-10	MED12	chrX:69320000-72000000	6.0	0.5805093477342979	0.5953391087704439
ENSG00000085224.22	HSALNG0138610	746.0	3.78e-08	ATRX	chrX:73040000-77440000	33.0	0.44274229306818347	0.5528179669062597
ENSG00000085224.22	HSALNG0138609	238.0	6.92e-09	ATRX	chrX:73040000-77440000	0.0	0.4888262288929629	0.5650375614911778
ENSG00000101972.18	HSALNG0139958	5.0	8.2e-11	STAG2	chrX:122520000-124520000	12.0	0.5036425030767445	0.5169281711727304
ENSG00000102034.16	HSALNG0140105	1.0	2.13e-10	ELF4	chrX:127200000-130160000	0.0	0.32050382958045864	0.5667340972361246
ENSG00000156531.16	HSALNG0140229	62.0	2.97e-09	PHF6	chrX:132800000-134240000	0.0	0.4955214381090086	0.5422880824031339
ENSG00000142611.17	HSALNG0000307	0.0	0.0	PRDM16	chr1:1240000-3800000	1.0	0.5363610283957158	0.5790816669256105
ENSG00000142611.17	HSALNG0000314	0.0	0.0	PRDM16	chr1:1240000-3800000	1.0	0.4006742968972203	0.5930081644542384
ENSG00000142611.17	HSALNG0000315	0.0	0.0	PRDM16	chr1:1240000-3800000	3.0	0.11152762024211338	0.6411591548209682
ENSG00000142611.17	HSALNG0000313	0.0	0.0	PRDM16	chr1:1240000-3800000	60.0	0.3503937349617642	0.5860402778787279
ENSG00000142611.17	HSALNG0000318	0.0	0.0	PRDM16	chr1:1240000-3800000	5.0	0.17701840138357663	0.7229268180229772
ENSG00000142611.17	HSALNG0000312	0.0	0.0	PRDM16	chr1:1240000-3800000	1.0	0.6669965662626384	0.5950155030547779
ENSG00000171735.19	HSALNG0000570	0.0	0.0	CAMTA1	chr1:6760000-8040000	7.0	0.7117263602435601	0.7108440893390041
ENSG00000171735.19	HSALNG0000572	0.0	0.0	CAMTA1	chr1:6760000-8040000	1.0	0.7207154245707829	0.7084473066942216
ENSG00000117713.20	HSALNG0001922	0.0	0.0	ARID1A	chr1:26760000-27320000	1.0	0.46121413928214083	0.5301194194998742
ENSG00000117400.18	HSALNG0003089	0.0	0.0	MPL	chr1:43600000-44560000	7.0	0.12739503460467888	0.5154431654049704
ENSG00000142867.14	HSALNG0004863	0.0	0.0	BCL10	chr1:84320000-86760000	1.0	0.6973104853365086	0.7264002152917775
ENSG00000143379.12	HSALNG0007133	0.0	0.0	SETDB1	chr1:150200000-152000000	2.0	0.48039295432758194	0.5235906534036336
ENSG00000198400.11	HSALNG0142356	0.0	0.0	NTRK1	chr1:154920000-157160000	1.0	0.5819398414715469	0.5022595967799123
ENSG00000162733.19	HSALNG0008017	0.0	0.0	DDR2	chr1:161720000-162840000	1.0	0.4038991906739042	0.6418644333865814
ENSG00000163435.16	HSALNG0142396	0.0	0.0	ELF3	chr1:201800000-203000000	2.0	0.7240565912039638	0.7500459546396158
ENSG00000198625.13	HSALNG0009887	0.0	0.0	MDM4	chr1:204360000-206640000	4.0	0.4502473658421944	0.5955940208954859
ENSG00000163041.12	HSALNG0011040	0.0	0.0	H3-3A	chr1:225520000-227280000	11.0	0.5559855235567159	0.5781438062953519
ENSG00000163041.12	HSALNG0142431	0.0	0.0	H3-3A	chr1:225520000-227280000	21.0	0.612945138703952	0.5800038663495839
ENSG00000163041.12	HSALNG0142023	0.0	0.0	H3-3A	chr1:225520000-227280000	22.0	0.6427345266041808	0.6331407211938368
ENSG00000116016.14	HSALNG0014676	0.0	0.0	EPAS1	chr2:46160000-47160000	7.0	0.676293495890833	0.8406280777445114
ENSG00000138081.20	HSALNG0014782	0.0	0.0	FBXO11	chr2:47960000-48800000	5.0	0.7198388270070738	0.7021212570955631
ENSG00000119866.22	HSALNG0015232	0.0	0.0	BCL11A	chr2:56400000-60920000	3.0	0.7561586833377157	0.8393722298762485
ENSG00000162924.14	HSALNG0146108	0.0	0.0	REL	chr2:60840000-62120000	6.0	0.7911688724678632	0.5264771733757747
ENSG00000144218.19	HSALNG0017283	0.0	0.0	AFF3	chr2:100120000-101600000	6.0	0.732131488435779	0.7097013900058512
ENSG00000144218.19	HSALNG0017278	0.0	0.0	AFF3	chr2:100120000-101600000	22.0	0.8132968774014364	0.7397769825725501
ENSG00000144218.19	HSALNG0146170	0.0	0.0	AFF3	chr2:100120000-101600000	1.0	0.655164959247931	0.6162625650085564
ENSG00000121966.7	HSALNG0019094	0.0	0.0	CXCR4	chr2:136520000-137200000	2.0	0.8400097389187419	0.6603849206429092
ENSG00000144476.6	HSALNG0023267	0.0	0.0	ACKR3	chr2:237120000-238000000	6.0	0.6477939580667844	0.66628700471505
ENSG00000163520.14	HSALNG0024294	0.0	0.0	FBLN2	chr3:12520000-14240000	49.0	0.6089570528139913	0.6551906418874652
ENSG00000114861.21	HSALNG0026763	0.0	0.0	FOXP1	chr3:70080000-71760000	1.0	0.47838794890959174	0.668799159864853
ENSG00000179348.12	HSALNG0028800	0.0	0.0	GATA2	chr3:127720000-128360000	15.0	0.4089701647245712	0.8455268370277514
ENSG00000018408.14	HSALNG0029752	0.0	0.0	WWTR1	chr3:148680000-149640000	8.0	0.7267962405504875	0.8593124919561878
ENSG00000178053.19	HSALNG0030155	0.0	0.0	MLF1	chr3:157280000-159000000	17.0	0.446029746427172	0.6756597178938285
ENSG00000085276.19	HSALNG0030580	0.0	0.0	MECOM	chr3:167640000-169480000	15.0	0.5956637923169248	0.6086241483442074
ENSG00000085276.19	HSALNG0147673	0.0	0.0	MECOM	chr3:167640000-169480000	2.0	0.6176192980193583	0.6846540658793724
ENSG00000085276.19	HSALNG0147968	0.0	0.0	MECOM	chr3:167640000-169480000	10.0	0.4283679344126485	0.6259399583339075
ENSG00000181449.4	HSALNG0031043	0.0	0.0	SOX2	chr3:180280000-182400000	2.0	0.6098691128443566	0.7070853567441262
ENSG00000073792.15	HSALNG0031325	0.0	0.0	IGF2BP2	chr3:185320000-185680000	3.0	0.5502994889714821	0.7274187841997074
ENSG00000244405.8	HSALNG0031352	0.0	0.0	ETV5	chr3:185680000-186280000	2.0	0.8211908034989761	0.762574040005615
ENSG00000145113.22	HSALNG0031848	0.0	0.0	MUC4	chr3:194400000-195960000	2.0	0.4726796599029754	0.5686815254110676
ENSG00000109685.18	HSALNG0148026	0.0	0.0	NSD2	chr4:1000000-3480000	1.0	0.40075044253203507	0.5217608774254735
ENSG00000168769.13	HSALNG0036166	0.0	0.0	TET2	chr4:104840000-108560000	1.0	0.41277659286770557	0.5202234032263026
ENSG00000164362.21	HSALNG0148531	0.0	0.0	TERT	chr5:920000-1720000	8.0	0.2760954364225241	0.8436659175677022
ENSG00000169862.19	HSALNG0040200	0.0	0.0	CTNND2	chr5:10160000-13960000	34.0	0.7104055941819719	0.5315644876472473
ENSG00000134352.20	HSALNG0041922	0.0	0.0	IL6ST	chr5:55000000-55560000	3.0	0.2634442620106297	0.5154086670600649
ENSG00000113721.14	HSALNG0045803	0.0	0.0	PDGFRB	chr5:149000000-149840000	17.0	0.5648360514428877	0.7857586186503805
ENSG00000164438.6	HSALNG0046555	0.0	0.0	TLX3	chr5:169000000-170840000	6.0	0.9178054712830678	0.7629737214719432
ENSG00000204531.18	HSALNG0049245	0.0	0.0	POU5F1	chr6:27760000-34160000	38.0	0.5605491582568063	0.560265283362875
ENSG00000112561.18	HSALNG0050046	0.0	0.0	TFEB	chr6:40280000-41760000	3.0	0.7085844792650275	0.6506567874648098
ENSG00000118515.11	HSALNG0053603	0.0	0.0	SGK1	chr6:134440000-135360000	2.0	0.8329993386067693	0.7159104220997755
ENSG00000118513.19	HSALNG0053662	0.0	0.0	MYB	chr6:135200000-135800000	1.0	0.808579122465237	0.9345284093693772
ENSG00000118503.15	HSALNG0053791	0.0	0.0	TNFAIP3	chr6:137960000-139120000	2.0	0.377501525312102	0.7952583694580471
